"i","j","G_mu_hat","G_mu_true","n_ave"
22,26,0.471768454953107,0.552578579006726,100
23,26,0.477392475108036,0.558683395656703,100
24,26,0.480980134506265,0.561930969880266,100
25,26,0.482504064979655,0.562306931636477,100
26,26,0.481925833614795,0.559818556656587,100
27,26,0.479199358511363,0.554494599587806,100
28,26,0.474275686134156,0.54638488190871,100
29,26,0.467108756857659,0.535559640951736,100
30,26,0.457662265009944,0.522108649767328,100
31,26,0.445917903153835,0.506140120811971,100
32,26,0.431884920069293,0.487779409488834,100
33,26,0.415610018690511,0.467167536368424,100
34,26,0.397185545399057,0.444459549424786,100
35,26,0.376753340820935,0.419822749802251,100
36,26,0.354502130109961,0.39343480644546,100
37,26,0.330657978715872,0.365481786354025,100
38,26,0.305469449965349,0.336156128241621,100
39,26,0.279190633931654,0.305654587972419,100
40,26,0.252065464430261,0.274176184307769,100
41,26,0.224315766764168,0.24192017322113,100
42,26,0.196133958459279,0.209084078335213,100
43,26,0.167680001212124,0.175861803913886,100
44,26,0.139081463493683,0.142441855321531,100
45,26,0.110435393552422,0.109005689968815,100
46,26,0.0818109204176411,0.0757262195270673,100
47,26,0.0532518862694906,0.0427664816495214,100
48,26,0.0247792179707071,0.0102784966273702,100
49,26,-0.00360692673094078,-0.0215976786232488,100
50,26,-0.0319250073891329,-0.0527346900523074,100
1,27,-0.0345583599473496,-0.039438773106239,100
2,27,-0.00435023553480095,-0.00746378790690984,100
3,27,0.0258157014380573,0.0251593190273669,100
4,27,0.0558968989856947,0.0582861158883611,100
5,27,0.0858361457006439,0.0917606736432969,100
6,27,0.115560539690209,0.125416578719433,100
7,27,0.144981006819706,0.15907813076938,100
8,27,0.173992430709699,0.192561712258122,100
9,27,0.202474424082156,0.225677313802873,100
10,27,0.230292776222655,0.258230196618665,100
11,27,0.257301670043358,0.290022671117057,100
12,27,0.283346849199983,0.32085596870949,100
13,27,0.30826994835656,0.350532182212753,100
14,27,0.331914063063787,0.378856248968545,100
15,27,0.354130262326462,0.405637949893286,100
16,27,0.374784213029408,0.430693897183215,100
17,27,0.393761635576628,0.453849483322012,100
18,27,0.410971246237556,0.474940764376046,100
19,27,0.426344324281869,0.493816251311476,100
20,27,0.439830950200607,0.510338584217347,100
21,27,0.451393928242163,0.524386065852351,100
22,27,0.461002013414411,0.53585403282729,100
23,27,0.468624066918312,0.544656044961801,100
24,27,0.474225219214486,0.55072487587881,100
25,27,0.477765328786577,0.554013290685004,100
26,27,0.479199358511363,0.554494599587806,100
27,27,0.478479005615271,0.552162979472996,100
28,27,0.47555506721117,0.547033558763515,100
29,27,0.470380470507048,0.539142264248738,100
30,27,0.462914398371761,0.528545431962682,100
31,27,0.453128199265191,0.515319187547501,100
32,27,0.441013515746494,0.499558604813382,100
33,27,0.426592191799942,0.481376654347625,100
34,27,0.409926249800568,0.460902956986018,100
35,27,0.391125166706326,0.438282359693256,100
36,27,0.370347571092542,0.41367335386445,100
37,27,0.347795712854623,0.387246358219134,100
38,27,0.323703238393543,0.359181890279781,100
39,27,0.298318892506526,0.32966865188129,100
40,27,0.271889738171146,0.298901555224431,100
41,27,0.244647017332044,0.267079716649169,100
42,27,0.216796365559214,0.234404445553683,100
43,27,0.188512567557412,0.201077255718997,100
44,27,0.159937993821144,0.167297925720857,100
45,27,0.131183448637149,0.133262634129867,100
46,27,0.102330242473867,0.0991621938343556,100
47,27,0.0734326486824766,0.0651804080900278,100
48,27,0.04452032257597,0.0314925688343438,100
49,27,0.0156006199779435,-0.00173588456522794,100
50,27,-0.0133390216372902,-0.0343505305934853,100
1,28,-0.0511980087444902,-0.0551674719524325,100
2,28,-0.0223489852262957,-0.0255227154446079,100
3,28,0.00654327283636964,0.00485235746725913,100
4,28,0.035446138671377,0.0358446733859031,100
5,28,0.0643132902805549,0.0673286866394212,100
6,28,0.0930835938004523,0.0991669257415503,100
7,28,0.12168054491379,0.131210744391979,100
8,28,0.150012336257312,0.163301270765259,100
